GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,CA8001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total employees
"G4701110","1970","Tennessee","47","Macon","111","Macon, TN",2416
"G4701130","1970","Tennessee","47","Madison","113","Madison, TN",17309
"G4701150","1970","Tennessee","47","Marion","115","Marion, TN",2750
"G4701170","1970","Tennessee","47","Marshall","117","Marshall, TN",5391
"G4701190","1970","Tennessee","47","Maury","119","Maury, TN",10365
"G4701210","1970","Tennessee","47","Meigs","121","Meigs, TN",507
"G4701230","1970","Tennessee","47","Monroe","123","Monroe, TN",3869
"G4701250","1970","Tennessee","47","Montgomery","125","Montgomery, TN",10803
"G4701270","1970","Tennessee","47","Moore","127","Moore, TN",476
"G4701290","1970","Tennessee","47","Morgan","129","Morgan, TN",906
"G4701310","1970","Tennessee","47","Obion","131","Obion, TN",7375
"G4701330","1970","Tennessee","47","Overton","133","Overton, TN",2589
"G4701350","1970","Tennessee","47","Perry","135","Perry, TN",906
"G4701370","1970","Tennessee","47","Pickett","137","Pickett, TN",625
"G4701390","1970","Tennessee","47","Polk","139","Polk, TN",3155
"G4701410","1970","Tennessee","47","Putnam","141","Putnam, TN",7198
"G4701430","1970","Tennessee","47","Rhea","143","Rhea, TN",3550
"G4701450","1970","Tennessee","47","Roane","145","Roane, TN",16594
"G4701470","1970","Tennessee","47","Robertson","147","Robertson, TN",4089
"G4701490","1970","Tennessee","47","Rutherford","149","Rutherford, TN",11922
"G4701510","1970","Tennessee","47","Scott","151","Scott, TN",1884
"G4701530","1970","Tennessee","47","Sequatchie","153","Sequatchie, TN",553
"G4701550","1970","Tennessee","47","Sevier","155","Sevier, TN",3869
"G4701570","1970","Tennessee","47","Shelby","157","Shelby, TN",221767
"G4701590","1970","Tennessee","47","Smith","159","Smith, TN",2175
"G4701610","1970","Tennessee","47","Stewart","161","Stewart, TN",791
"G4701630","1970","Tennessee","47","Sullivan","163","Sullivan, TN",50535
"G4701650","1970","Tennessee","47","Sumner","165","Sumner, TN",8575
"G4701670","1970","Tennessee","47","Tipton","167","Tipton, TN",2708
"G4701690","1970","Tennessee","47","Trousdale","169","Trousdale, TN",1716
"G4701710","1970","Tennessee","47","Unicoi","171","Unicoi, TN",2293
"G4701730","1970","Tennessee","47","Union","173","Union, TN",329
"G4701750","1970","Tennessee","47","Van Buren","175","Van Buren, TN",D
"G4701770","1970","Tennessee","47","Warren","177","Warren, TN",7588
"G4701790","1970","Tennessee","47","Washington","179","Washington, TN",20402
"G4701810","1970","Tennessee","47","Wayne","181","Wayne, TN",2922
"G4701830","1970","Tennessee","47","Weakley","183","Weakley, TN",5158
"G4701850","1970","Tennessee","47","White","185","White, TN",3921
